
> 9898-mtg-chaos-rpg-2026@1.0.0 phaser
> npx serve . -l 3000

 INFO  Accepting connections at http://localhost:3000
 HTTP  4/9/2026 4:35:12 PM ::1 Returned 200 in 2 ms
 HTTP  4/9/2026 4:38:02 PM ::1 GET /src/scenes
 HTTP  4/9/2026 4:38:02 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:02 PM ::1 GET /src/styles/style.css
 HTTP  4/9/2026 4:38:02 PM ::1 Returned 304 in 2 ms
 HTTP  4/9/2026 4:38:02 PM ::1 GET /src/lib/world-data.js
 HTTP  4/9/2026 4:38:02 PM ::1 GET /src/modules/phaser-chaos-module.js
 HTTP  4/9/2026 4:38:02 PM ::1 GET /src/scripts/game.js
 HTTP  4/9/2026 4:38:02 PM ::1 Returned 304 in 0 ms
 HTTP  4/9/2026 4:38:02 PM ::1 Returned 304 in 0 ms
 HTTP  4/9/2026 4:38:02 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:02 PM ::1 GET /src/modules/runtime-bridge.js
 HTTP  4/9/2026 4:38:02 PM ::1 GET /src/scripts/phaser-root-game.js
 HTTP  4/9/2026 4:38:02 PM ::1 GET /src/scripts/log-window.js
 HTTP  4/9/2026 4:38:02 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:02 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:02 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:08 PM ::1 GET /src/scenes/scene-character-creation.html
 HTTP  4/9/2026 4:38:08 PM ::1 Returned 301 in 0 ms
 HTTP  4/9/2026 4:38:08 PM ::1 GET /src/scenes/scene-character-creation
 HTTP  4/9/2026 4:38:08 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:38:08 PM ::1 GET /src/styles/style.css
 HTTP  4/9/2026 4:38:08 PM ::1 GET /src/lib/world-data.js
 HTTP  4/9/2026 4:38:08 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:08 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:08 PM ::1 GET /src/scripts/scenes.js
 HTTP  4/9/2026 4:38:08 PM ::1 GET /src/scripts/game.js
 HTTP  4/9/2026 4:38:08 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:08 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:38:23 PM ::1 GET /src/scenes/scene-quest.html
 HTTP  4/9/2026 4:38:23 PM ::1 Returned 301 in 1 ms
 HTTP  4/9/2026 4:38:23 PM ::1 GET /src/scenes/scene-quest
 HTTP  4/9/2026 4:38:23 PM ::1 Returned 200 in 1 ms
 HTTP  4/9/2026 4:38:23 PM ::1 GET /src/styles/style.css
 HTTP  4/9/2026 4:38:23 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:23 PM ::1 GET /src/lib/world-data.js
 HTTP  4/9/2026 4:38:23 PM ::1 GET /src/scripts/game.js
 HTTP  4/9/2026 4:38:23 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:23 PM ::1 GET /src/scripts/scenes.js
 HTTP  4/9/2026 4:38:23 PM ::1 Returned 304 in 0 ms
 HTTP  4/9/2026 4:38:23 PM ::1 Returned 304 in 1 ms
 HTTP  4/9/2026 4:38:33 PM ::1 GET /src/scenes/scene-battlefield.html
 HTTP  4/9/2026 4:38:33 PM ::1 Returned 301 in 0 ms
 HTTP  4/9/2026 4:38:33 PM ::1 GET /src/scenes/scene-battlefield
